,Unnamed: 0,Transaction_date,Product,Payment_Type,Name,Country,Account_Created,Last_Login,Latitude,Longitude
77,77,1/13/09 5:57,Product1,Visa,Robin,Italy,10/15/08 5:31,1/13/09 5:55,45.46666670000001,9.2
78,78,1/13/09 6:13,Product1,Visa,Gitte,United States,1/13/09 5:17,1/13/09 7:33,40.63667,-74.15916999999997
79,79,1/8/09 13:14,Product1,Visa,Dr. Claudia,Norway,1/8/09 12:47,1/13/09 10:49,59.9166667,10.75
80,80,1/2/09 11:41,Product1,Visa,Crystal,United States,1/1/09 12:00,1/13/09 18:34,42.46444,-83.37639
81,81,1/7/09 19:50,Product1,Diners,Delphine,United States,1/3/09 12:04,1/13/09 20:17,34.01944,-118.49028
82,82,1/1/09 20:28,Product1,Visa,nathalie,Canada,1/1/09 20:11,1/13/09 21:11,51.0833333,-114.0833333
83,83,1/3/09 15:22,Product1,Mastercard,Lindi,Canada,2/20/08 22:45,1/13/09 23:02,49.25,-123.1333333
84,84,1/12/09 3:03,Product2,Mastercard,Valda,United States,1/12/09 2:48,1/14/09 1:07,33.66944,-117.82222
85,85,1/5/09 8:58,Product2,Mastercard,Marcia,Germany,9/1/08 3:39,1/14/09 2:07,52.3333333,7.9
86,86,1/10/09 14:03,Product1,Mastercard,Kevin,United Kingdom,3/13/06 4:56,1/14/09 2:22,51.9,-2.0833333
87,87,1/13/09 11:26,Product1,Visa,Clare,United States,1/13/09 11:15,1/14/09 2:39,37.61917,-75.76417
88,88,1/2/09 12:18,Product1,Visa,Alice,Denmark,12/5/07 11:37,1/14/09 4:05,54.8333333,11.15
89,89,1/14/09 4:54,Product1,Mastercard,ZENA,United States,1/14/09 4:34,1/14/09 4:43,21.30694,-157.85833
90,90,1/6/09 17:15,Product1,Visa,Andrea,Moldova,12/24/08 17:31,1/14/09 10:27,46.985,28.9425
91,91,1/3/09 13:56,Product1,Visa,Rennae,United States,1/3/09 12:30,1/14/09 13:03,30.66944,-81.46278000000002
92,92,1/4/09 7:54,Product1,Visa,Gerhard,Canada,10/21/05 21:49,1/14/09 13:06,44.15,-79.8666667
93,93,1/12/09 7:28,Product1,Amex,Megan,Spain,12/10/08 16:41,1/14/09 13:44,37.9333333,-1.1333333
94,94,1/6/09 15:15,Product1,Mastercard,Danielle,Ireland,1/6/09 14:59,1/14/09 14:33,53.31222220000001,-6.2683333
95,95,1/13/09 23:56,Product1,Mastercard,Tod,United States,1/13/09 23:13,1/14/09 15:17,25.72111,-80.26861
96,96,1/14/09 19:32,Product1,Visa,Janaina,United States,12/16/08 22:19,1/14/09 19:28,25.77389,-80.19389
97,97,1/6/09 21:13,Product1,Visa,Kofi,Canada,1/7/08 21:16,1/14/09 20:50,49.25,-123.1333333
98,98,1/14/09 11:19,Product1,Visa,Jennifer,United Arab Emirates,1/14/09 10:44,1/14/09 21:26,25.2097222,55.2477778
99,99,1/13/09 19:39,Product1,Visa,Jolene ,United States,1/6/09 22:00,1/14/09 22:02,39.64778,-104.98722
100,100,1/8/09 7:26,Product1,Mastercard,anne,United Kingdom,1/25/08 15:46,1/15/09 1:36,50.71666670000001,-1.8833333
101,101,1/15/09 2:40,Product1,Mastercard,Alexis,United States,1/15/09 2:04,1/15/09 2:04,42.09722,-88.69278
102,102,1/12/09 6:40,Product1,Visa,Dez,Bahrain,1/10/09 12:50,1/15/09 4:46,26.2172222,50.54055560000001
103,103,1/15/09 3:43,Product1,Visa,Stephanie,France,12/26/08 9:01,1/15/09 5:39,49.4333333,1.0833333
104,104,1/5/09 15:39,Product1,Visa,Melissa ,United States,12/10/08 9:14,1/15/09 6:01,26.30972,-80.2375
105,105,1/10/09 5:21,Product1,Amex,CLARE,United States,1/10/09 0:07,1/15/09 6:25,37.775,-122.41833
106,106,1/15/09 4:12,Product1,Mastercard,catherine,United States,1/15/09 4:02,1/15/09 6:59,37.61917,-75.76417
107,107,1/12/09 11:48,Product1,Visa,Veronique ,Canada,7/24/08 15:48,1/15/09 8:56,49.0166667,-123.0833333
108,108,1/6/09 10:48,Product1,Mastercard,Bruce and Camille,United States,8/21/07 21:19,1/15/09 9:32,40.63667,-74.91028
109,109,1/14/09 9:10,Product1,Mastercard,Ellen,United States,1/14/09 8:25,1/15/09 9:40,37.77417,-87.11333
110,110,1/14/09 22:44,Product1,Visa,Amy,United States,1/14/09 22:21,1/15/09 9:50,33.1425,-96.96917
111,111,1/6/09 7:23,Product1,Visa,Anna,Canada,7/21/08 12:03,1/15/09 10:00,50.71666670000001,-113.96666670000002
112,112,1/1/09 5:04,Product1,Mastercard,Regina,Netherlands,12/16/02 4:09,1/15/09 10:50,53.1333333,6.6333332999999985
113,113,1/15/09 11:56,Product1,Visa,Heidi,Canada,1/14/09 9:16,1/15/09 11:39,51.0833333,-114.0833333
114,114,1/15/09 11:58,Product1,Visa,Jessica,Canada,1/14/09 5:59,1/15/09 11:49,45.3333333,-75.9
115,115,1/12/09 9:43,Product1,Diners,Petra,Germany,1/7/09 8:39,1/15/09 12:14,51.71666670000001,6.5
116,116,1/15/09 12:33,Product1,Visa,Brian,United States,1/15/09 12:19,1/15/09 13:28,38.98056,-76.93722
117,117,1/14/09 11:35,Product1,Visa,Kenny,United States,1/13/09 17:42,1/15/09 15:31,19.7349,-155.9003
118,118,1/14/09 15:40,Product1,Amex,ayse,United States,1/13/09 19:37,1/15/09 15:45,33.84917,-118.3875
119,119,1/3/09 11:08,Product1,Amex,Maria and Timothy,United States,6/5/06 22:42,1/15/09 16:37,33.611670000000004,-111.71667
120,120,1/12/09 1:37,Product1,Visa,IMAN,Australia,1/12/09 1:26,1/15/09 17:54,-27.5,153.0166667
121,121,1/16/09 7:21,Product1,Mastercard,Gerald,United States,11/3/08 14:28,1/16/09 6:08,41.37222,-73.73389
122,122,1/15/09 12:54,Product1,Mastercard,Annelies,Canada,1/15/09 12:22,1/16/09 7:53,45.4,-73.9333333
123,123,1/7/09 7:19,Product1,Amex,Jocelyn,Belgium,6/30/08 9:33,1/16/09 8:54,50.8333333,4.3333333
124,124,1/3/09 9:56,Product1,Visa,Kara,United States,12/31/08 16:26,1/16/09 13:43,41.85,-87.65
125,125,1/16/09 17:41,Product1,Visa,Orsi,United States,1/16/09 17:01,1/16/09 17:56,30.07972,-95.41694
126,126,1/5/09 5:33,Product1,Visa,Ben,United States,1/5/09 3:19,1/17/09 0:35,33.119170000000004,-117.08556000000002
127,127,1/2/09 0:50,Product1,Visa,Sam,Turkey,1/2/09 0:10,1/17/09 1:57,40.6166667,29.066666700000006
128,128,1/13/09 1:51,Product1,Visa,Filip and Teresa,South Africa,1/12/09 1:40,1/17/09 2:23,-25.8744444,28.170555600000004
129,129,1/15/09 10:24,Product1,Visa,Grace ,United Kingdom,1/13/09 12:30,1/17/09 4:42,53.96666670000001,-1.0833333
130,130,1/11/09 8:59,Product1,Visa,Chelsey ,United States,11/9/08 5:53,1/17/09 8:54,39.04361,-77.48778
131,131,1/15/09 15:56,Product1,Amex,Charis,United States,11/11/05 11:49,1/17/09 10:54,34.05222,-118.24278
132,132,1/1/09 12:19,Product1,Visa,Marlene,United States,1/16/06 14:45,1/17/09 11:38,47.25028,-122.2925
133,133,1/6/09 14:03,Product1,Visa,Fie,United States,5/1/08 8:26,1/17/09 11:44,40.71417,-74.00639
134,134,1/9/09 15:32,Product1,Diners,Nicole ,United Kingdom,1/7/09 12:31,1/17/09 12:03,51.2666667,-1.0833333
135,135,1/17/09 12:59,Product1,Diners,Linda,Netherlands,10/29/08 13:09,1/17/09 13:07,52.0833333,4.3
136,136,1/12/09 12:37,Product1,Visa,Janet,United States,9/13/07 14:20,1/17/09 16:17,33.9525,-84.55
137,137,1/4/09 7:43,Product1,Mastercard,Jamie,United States,1/4/09 6:51,1/17/09 17:31,29.76306,-95.36306
138,138,1/17/09 16:22,Product1,Visa,Chad,United States,1/17/09 15:22,1/17/09 18:42,40.79861,-74.23944
139,139,1/1/09 3:51,Product1,Mastercard,sunny,Netherlands,9/14/05 22:53,1/17/09 22:34,52.35,4.9166667
140,140,1/18/09 5:27,Product1,Visa,Anna,United States,1/18/09 4:28,1/18/09 4:42,33.94,-118.13167
141,141,1/18/09 5:15,Product1,Diners,Roger,Ireland,1/18/09 4:44,1/18/09 4:44,52.7205556,-7.5825
142,142,1/1/09 1:51,Product1,Mastercard,Si,Denmark,12/14/05 15:46,1/18/09 4:44,55.8166667,12.4666667
143,143,1/18/09 6:30,Product1,Visa,Sherri,Switzerland,6/22/08 14:10,1/18/09 6:21,47.2,8.75
144,144,1/11/09 10:51,Product1,Mastercard,Katherine,Germany,12/6/08 1:34,1/18/09 7:17,50.0833333,8.45
145,145,1/4/09 17:02,Product1,Mastercard,Clare,United States,12/31/05 0:55,1/18/09 8:43,37.88583,-122.11694
146,146,1/17/09 1:23,Product1,Amex,Campbell,Kuwait,1/16/09 14:26,1/18/09 9:08,29.289166700000006,48.05
147,147,1/18/09 2:16,Product1,Visa,Ruth,United States,1/16/09 19:32,1/18/09 9:13,33.94556,-93.84694
148,148,1/18/09 11:34,Product2,Visa,Cheryl,United Kingdom,10/28/05 14:57,1/18/09 10:27,51.4166667,-0.25
149,149,1/18/09 4:38,Product1,Visa,Doug,United Kingdom,12/28/07 13:39,1/18/09 11:58,54.65,-1.6666667000000002
150,150,1/18/09 13:26,Product3,Mastercard,Julianne,Ireland,1/18/09 12:20,1/18/09 12:20,53.6527778,-6.681388900000001
151,151,1/18/09 11:53,Product1,Visa,Shailesh,United States,1/18/09 0:00,1/18/09 12:23,39.43361,-76.35806
152,152,1/18/09 12:04,Product1,Visa,Conrad,United States,1/18/09 0:00,1/18/09 12:23,39.43361,-76.35806
153,153,1/13/09 19:54,Product1,Diners,Alison,United States,1/3/06 6:09,1/18/09 12:51,40.70694,-74.95639
154,154,1/5/09 21:06,Product1,Mastercard,Tracy,United States,1/5/09 16:27,1/18/09 13:58,38.25417,-85.75944
155,155,1/14/09 6:32,Product1,Visa,Kate,United States,4/12/06 6:14,1/18/09 14:04,39.04361,-77.48778
156,156,1/4/09 23:48,Product1,Diners,Sarka,Canada,1/4/09 22:41,1/18/09 16:17,62.45,-114.35
157,157,1/18/09 16:32,Product2,Visa,Therese,United States,1/18/09 16:23,1/18/09 16:54,34.05222,-118.24278
158,158,1/18/09 17:04,Product2,Visa,Abdul-L,United States,1/18/09 16:58,1/18/09 16:58,40.71417,-74.00639
159,159,1/18/09 17:20,Product2,Visa,heidi,United States,1/18/09 17:16,1/18/09 17:16,44.94444,-93.09306
160,160,1/18/09 17:39,Product2,Visa,jiyoung,United States,1/18/09 17:34,1/18/09 17:34,40.71417,-74.00639
161,161,1/11/09 11:20,Product1,Visa,Klara,United States,12/31/08 19:48,1/18/09 17:43,45.10778,-93.23778
162,162,1/13/09 20:59,Product1,Mastercard,Andrew,Canada,1/13/09 16:44,1/18/09 19:17,49.8833333,-97.1666667
163,163,1/12/09 16:50,Product1,Visa,Vicki and Bill,United States,1/4/09 21:33,1/19/09 1:22,47.60639000000001,-122.33083
164,164,1/12/09 15:12,Product1,Mastercard,David,United States,1/12/09 14:07,1/19/09 3:47,39.83806,-75.15306
165,165,1/6/09 12:27,Product1,Mastercard,Antonella,Netherlands,1/6/09 12:04,1/19/09 4:59,52.35,4.9166667
166,166,1/9/09 18:52,Product1,Visa,David,United States,11/25/08 7:56,1/19/09 6:12,34.07528,-84.29417
167,167,1/18/09 23:17,Product1,Visa,Greg,United States,1/18/09 15:18,1/19/09 6:13,38.895,-77.03667
168,168,1/7/09 8:21,Product1,Visa,Jannik ,Norway,1/3/09 11:06,1/19/09 6:54,59.96666670000001,10.6666667
169,169,1/3/09 9:54,Product1,Visa,Sylvia,Turkey,12/29/08 10:38,1/19/09 7:37,41.1980556,29.0302778
170,170,1/5/09 19:37,Product1,Amex,Bernadette,United States,11/7/07 9:49,1/19/09 7:42,38.895,-77.03667
171,171,1/4/09 12:49,Product1,Diners,Denise,Canada,5/25/07 10:58,1/19/09 7:58,45.5,-73.58333329999998
172,172,1/8/09 11:55,Product2,Visa,Caren,Germany,1/3/09 12:39,1/19/09 8:31,52.2666667,10.5333333
173,173,1/14/09 18:21,Product1,Visa,luciana,United States,9/25/05 6:25,1/19/09 11:21,33.96083,-83.37805999999998
174,174,1/11/09 19:01,Product1,Diners,Maja,United States,1/11/09 18:17,1/19/09 12:47,34.09639,-83.76139
175,175,1/14/09 5:20,Product2,Visa,Kristen,Switzerland,1/12/09 13:31,1/19/09 13:07,47.5333333,7.5666667
176,176,1/15/09 8:07,Product1,Visa,Kirstie,United States,12/13/08 19:35,1/19/09 14:59,42.48944,-83.14471999999998
177,177,1/15/09 8:10,Product1,Visa,Scott ,United States,12/13/08 19:35,1/19/09 14:59,42.48944,-83.14471999999998
178,178,1/2/09 17:45,Product1,Mastercard,Jammie,United States,12/9/05 17:19,1/19/09 15:36,42.39583,-71.17917
179,179,1/19/09 16:10,Product1,Mastercard,Frank,United States,1/19/09 15:31,1/19/09 16:00,41.02278,-73.56528
180,180,1/19/09 16:55,Product1,Mastercard,scott,United States,1/19/09 16:18,1/19/09 16:18,25.71222,-80.25721999999998
181,181,1/10/09 17:41,Product1,Visa,Jiri,United States,1/10/09 16:32,1/19/09 17:52,38.90111,-77.26556
182,182,1/18/09 13:49,Product2,Visa,Bev,United States,1/11/09 12:00,1/19/09 18:07,37.78,-121.97693999999998
183,183,1/15/09 5:47,Product1,Visa,Dave and Amy,United States,1/15/09 0:21,1/19/09 22:48,36.84667,-76.28556
184,184,1/19/09 23:06,Product1,Mastercard,Rebecca,United States,1/19/09 22:53,1/19/09 22:53,36.84667,-76.28556
185,185,1/19/09 11:12,Product1,Visa,Melissa,United Kingdom,8/27/08 8:22,1/20/09 0:35,57.1333333,-2.1
186,186,1/4/09 1:38,Product1,Amex,jeremy,Australia,7/15/08 21:04,1/20/09 1:08,-32.95,151.66666669999995
187,187,1/20/09 3:11,Product1,Visa,Randy,United Kingdom,1/20/09 3:02,1/20/09 3:06,53.5333333,-2.6166667
188,188,1/3/09 10:52,Product1,Visa,Djeiny,United States,4/18/05 9:27,1/20/09 6:47,39.01806,-77.20889
189,189,1/20/09 5:24,Product3 ,Mastercard,Amanda,United States,1/20/09 5:13,1/20/09 7:15,32.525,-93.75
190,190,1/20/09 6:03,Product1,Mastercard,Andrea ,United States,1/20/09 5:13,1/20/09 7:15,32.525,-93.75
191,191,1/10/09 11:37,Product1,Amex,Joanna,United States,12/28/08 20:10,1/20/09 7:42,40.33667,-74.0475
192,192,1/20/09 5:50,Product1,Visa,Jessica,United Kingdom,1/20/09 4:23,1/20/09 7:46,54.8333333,-3.2833333
193,193,1/19/09 16:32,Product1,Amex,alison,United States,1/19/09 10:24,1/20/09 10:09,39.95222,-75.16417
194,194,1/18/09 10:42,Product1,Visa,malin,United States,1/18/09 0:00,1/20/09 11:09,33.74889,-84.38806
195,195,1/7/09 6:11,Product2,Visa,Tiffany ,France,1/7/09 5:30,1/20/09 11:22,48.8666667,2.3333333
196,196,1/3/09 8:29,Product1,Visa,Genevieve,United Kingdom,10/10/08 1:26,1/20/09 11:31,52.0333333,-0.7
197,197,1/1/09 2:09,Product1,Mastercard,Saraya,Germany,3/12/06 11:31,1/20/09 11:56,51.05,13.75
198,198,1/20/09 12:34,Product1,Mastercard,Anastasia,United States,1/20/09 12:17,1/20/09 12:55,40.71417,-74.00639
199,199,1/20/09 3:51,Product1,Visa,Elizabeth,Australia,11/12/08 3:34,1/20/09 13:11,-24.8166667,152.41666669999995
200,200,1/15/09 11:26,Product1,Visa,Nicole,United States,7/11/07 11:18,1/20/09 14:01,42.33167,-71.12167
201,201,1/5/09 16:55,Product1,Visa,Jeffrey,Canada,9/29/03 17:08,1/20/09 14:38,45.6,-73.6166667
202,202,1/12/09 19:47,Product1,Mastercard,Blanca Gabriela ,United States,12/10/08 21:49,1/20/09 18:02,32.81389,-96.94861
203,203,1/4/09 19:20,Product1,Amex,Elisa,United States,1/4/09 18:38,1/20/09 18:03,41.66417,-83.64333
204,204,1/10/09 8:33,Product2,Mastercard,Patricia ,United States,2/4/07 10:09,1/20/09 22:06,37.38417000000001,-122.23417
205,205,1/9/09 14:51,Product1,Visa,Bob,Australia,1/7/09 18:15,1/21/09 0:29,-33.8833333,151.2166667
206,206,1/16/09 2:41,Product3,Visa,Kristyn,United States,1/15/09 18:01,1/21/09 1:02,40.66,-111.99556
207,207,1/16/09 18:36,Product1,Visa,Elizabeth,Australia,11/1/08 16:32,1/21/09 1:49,-34.4333333,150.8833333
208,208,1/20/09 8:10,Product1,Amex,Cathy,United States,8/5/07 18:52,1/21/09 5:16,40.65,-73.95
209,209,1/6/09 12:45,Product2,Amex,Kaylee,United States,1/5/09 14:06,1/21/09 11:18,38.29972,-122.66556
210,210,1/10/09 8:13,Product1,Visa,suzanne,United States,1/9/09 19:15,1/21/09 11:35,41.67361,-88.00166999999998
211,211,1/7/09 14:15,Product1,Mastercard,Cassandra,United States,1/5/09 15:42,1/21/09 12:00,37.50722,-122.25943999999998
212,212,1/8/09 15:27,Product1,Mastercard,Jennifer,United States,1/4/09 22:22,1/21/09 13:28,41.85,-87.65
213,213,1/21/09 11:36,Product1,Visa,nicole,Norway,12/23/08 12:02,1/21/09 13:47,59.9166667,10.75
214,214,1/21/09 14:06,Product1,Visa,Sean,United States,1/21/09 12:00,1/21/09 14:06,40.68361,-73.51056
215,215,1/2/09 2:28,Product1,Mastercard,Morgan,Australia,5/3/08 4:14,1/21/09 16:37,-27.8833333,153.3
216,216,1/19/09 19:07,Product1,Diners,Harriet,United States,1/19/09 16:52,1/21/09 17:02,34.94889000000001,-85.25694
217,217,1/18/09 6:27,Product1,Mastercard,Janine,United States,10/27/05 19:22,1/21/09 17:10,39.24167,-74.81555999999998
218,218,1/20/09 11:58,Product1,Mastercard,Debora,United States,11/1/08 23:14,1/21/09 17:25,32.85722,-116.92139
